is_duplicate,spanish_sentence1,spanish_sentence2
0,pued bail par mi,pued llam
0,hol eva al principi la pregunt pued escrib en aleman,eva entend mi pregunt
0,com elimin la tarjet de credit,com elimin ped innecesari
0,pued cambi la cantid de variant de un product par pod import a shopify,pued import 1 sol articul
0,com obteng cupon y descuent,pued obten estos cupon reactiv
0,hac un par de seman busqu camiset de la nas en la tiend en aquel entonc ten much result per ahor no tien result com pued encontr esos product nuev,com estrech mis result de busqued
0,hol el vencimient de mi tarjet de credit ha expir y no pued encontr ningun lug dond se pued sobrescrib los nuev dat de la tarjet usted me podr ayud,pued usar una tarjet de credit
0,guard par mas adel,que hac si el ped se pag y lueg se cerr
1,por favor lea arrib,por favor lee mi pregunt
0,pued leer,por favor lee mi pregunt
1,pued hac una pregunt,quier hac una pregunt
0,mi nombr es bill,elimin mi nombr en la transaccion
0,por favor algui que sep español me result dificil escrib y traduc y lueg traduc lo que me escrib,por favor dim que pas con mis articul
1,quien pued ayud por favor,me podr ayud
0,com abrir una disput,com cancel una disput
1,com abrir una disput,necesit abrir una disput
0,guard detall de la tarjet,necesit cambi los detall de mi tarjet de credit
1,no pued abrir una disput,no pued abrir la disput
1,com pued obten un recib o factur de la orden,com obteng una factur par pag
0,el vendedor no respond mi estad de reembols,ha finaliz el tiemp de respuest del vendedor
0,par mi telefon,no pued agreg mi numer de telefon
0,no se dond encontr mi codig de barr,com pued no sab
0,no estoy segur de que signif 25cm por 33cm,pued asegur de que mi pag al vendedor esta asegur
0,com agreg articul en el carr,cuant product pued agreg en el carrit de compr
1,he contact al vendedor un horari de visit per el no devolv mi diner,he estad trat de contact a un vendedor per el no me ha respond
0,en mi estad de reembols no aparec s disput,por que el ped no se muestr en mi cuent
1,com abrir disput par ped complet,mi transaccion se complet per quier abrir la disput
0,agreg una tarjet de credit,dond carg el extract de la tarjet de credit
1,com inform al vendedor,com inform a un vendedor
0,es tu siti segur,com funcion paypal en su siti
0,hac un ped,quier hac un ped por telefon
0,com bloqu par bloqu al vendedor,com pued contact al vendedor
0,com confirm la entreg una vez que he recib mi ped,accidental presion confirm la entreg per no recib mi ped
0,com registr una cuent,registr la cuent es gratis o no
1,pued ayud,me pued ayud
1,cuand el product es futur,cuand recib el product que compr
0,quier compr vari articul de un vendedor per despues de compr mas que el sistem me cobr por el envi el vendedor ajust el preci per mi sistem no me permit hac porqu no pued orden el articul y pag mas tard ayud,quier compr vari product del mism vendedor
0,pued leer,com pued acced y leer los comentari que el vendedor me dio
1,no pued contact al vendedor,no pued contact al vendedor
0,com obten la garant,com obteng pi
0,intent pag mi orden que pas,trat de pag con tarjet de credit per aparec un error de ped digital inval
0,el estad ha termin per no teng nad,com pued abrir una disput si el estad esta termin
0,entonc quien dar una respuest,vendedor que se nieg a respond a mis corre electron
0,teng un problem con el sistem visit esta pagin complet el formulari,teng un problem con el pag
1,com recib un reembols a traves de bolet,com recib un reembols de bolet
0,metod de envi rap,metod de envi incorrect
0,el vendedor no respond,teng una disput con el vendedor
0,hay un error al traduc una palabr orden en ingles a turc,pag por los bien por error
0,envi a siri,envi a otro lug
1,eres una person viv,com pued obten una person en viv
0,he recib mis product per tien el tamañ incorrect com pued intercambi,seleccion el tamañ incorrect
1,quier cancel el ped,hic un ped y pag quier cancel
0,y hast ahor no he ten respuest,por favor hagamel sab su direccion de corre electron
0,quier envi un ped el sistem de cervez esta ocup que deb hac,esta cuent no exist que deb hac
0,195000 acab de cancel,ya cancel per tom diner
0,mi proveedor esta cambi el numer de seguimient per no pued rastr el paquet promet par envi es de 7 dias y se envi inform incorrect de que se envi en realid no lo envi,no pued envi mensaj a mi proveedor
0,hic una compr no se proces por lo que los fond se reembols per me gust utiliz esos mism fond par otra compr sin ten que envi de vuelt a mi banc ya que he sobregir la cuent del mes es posibl manten el f,me devuelv mi diner si cancel una compr
0,com establec el metod de envi,eleg el metod de envi incorrect
0,quier apel tu juici,quier tu corre
1,el boton de servici en line no esta activ,quier habl con un human en line
0,pag con tarjet y no me envi un corre electron sobr el numer de ped,cambi la tarjet que pag el ped
1,com cambi moned en cupon,com uso las moned
0,com hac una nuev tiend,com hac el pag con webmoney
1,mi seguimient no esta funcion,por que mi orden de seguimient no funcion
0,voy a ped otra ayud,quier ped un reembols
0,com pued cambi mi contraseñ si ya no teng acces a ese corre electron,pued pag el ped por corre electron
1,esper que entiend lo que dij,esper que pued ayud
0,razon par la cancel,lo sent su cuent se ha marc por algun motiv y no pued particip en esta promocion
0,quier cancel el ped,quier cancel el ped en orden congel
0,que mierd es eso,jod eva eres calient
0,hol intent usar un codig de descuent y no me permit ingres el codig,estoy trat de ped un vest per no me da el tamañ par eleg
1,com abrir una disput,com abro una disput
0,necesit encontr mi inform de pag,com pued cambi mi inform de pag
1,quier elimin mi tarjet de credit de mi cuent,com elimin el pag con un sol clic de mi cuent
1,los product que compr no funcion me he puest en contact con el vendedor direct per sol recib emojis com respuest no se pued abrir una disput,necesit una disput abiert per no teng la opcion
0,acab de leer que rechaz mi apel,com pued leer mis comentari que el vendedor escrib sobr mi
0,com intercambi punt por cupon,com usar el cupon
0,despues de que se abri la disput el vendedor me asegur que lleg,una disput abiert hac much tiemp el vendedor esta en silenci
0,com encontr el barc del articul de los ee uu,com pued busc articul por numer de articul
0,com solicit un reembols,com recib un reembols por part de maestr
0,no pod cre una cuent,no pued inici sesion
0,devolv la direccion de envi del vendedor,la direccion de envi no esta dispon
0,hol cancel mi ped cuant tiemp me llev recuper mi diner,cuant tiemp llev recib mi ped
1,hay algui ahi,ayud a algui
0,quier una disput amor abiert per no pued,mi transaccion se complet per quier abrir la disput
0,este es mi id de ped,quier cambi mi nombr id
0,mi cuent esta rot,cerr mi cuent
0,despues de la cantid de dias que recib mi product mi pais es pakistan obtuv mi numer de rastre 2 dias antes,pag antes o despues de recib mi mercanc
0,la retroaliment no se muestr,por que el ped no se muestr en mi cuent
0,com pued cambi mi direccion de factur,com pued cambi mi nombr
1,no pued hac una cuent y quier rastr un paquet,quier rastr un ped
0,present mi apel hac 4 dias y no tuv ningun respuest,cancel esta orden hac algun seman per aun no he recib ningun reembols
0,cuant años tien,dond pued encontr mensaj antigu del vendedor
0,com obteng el numer de ped,com obteng pi
0,sin embarg trat de compr la mism impresor y pag con la mism tarjet de credit per no funcion,pued compr 2 product de diferent vendedor en el mism envi
0,no se ingles,com pued no sab
0,por que los punt de recompens estan baj,compart con amig per por que no dar punt
0,si su ped muestr ped cancel signif,he cancel el ped y se muestr en esper de cancel
0,trat el reembols y devuelv el product el menu es demasi car y envi product a chin quien soport el cost del transport de bien,quier envi un product a chin
0,quier compr vari articul de un vendedor per despues de compr mas que el sistem me cobr por el envi el vendedor ajust el preci per mi sistem no me permit hac porqu no pued orden el articul y pag mas tard ayud,pued compr 2 product de diferent vendedor en el mism envi
0,quier cancel el ped,dese cancel mi ped per la opcion de cancel ped ya no esta dispon
0,no recib mi reembols todav,no he recib mi articul com obteng un reembols
1,com abrir disput par ped complet,com abrir una disput si mi orden ha sid complet
0,mi sistem va direct a pag,no pued pag mi ped con mi tarjet
0,hol todav no estoy rastr un paquet par uno de mis ped,he envi diner a una cuent bancari citibank n a singapor branch
1,quier quej,com present una quej
0,estoy pid combin orden de pag,cuand recib mis ped
0,abri una disput y el vendedor me esta acech,el vendedor me dij que pod reabr la disput
0,pued dec cuand se entreg mis ped,mi orden ha sid cancel pued dec porqu
1,no pued ver el orden en mi aut,no pued ver el orden que pag
0,voy a visit chin,por que no pued eleg chin
0,no guard tarjet,com pued salv a los vendedor
0,com pued cambi mi contraseñ si ya no teng acces a ese corre electron,quier cambi mi direccion de corre electron porqu la anterior fue pirat com pued hac
0,com agreg los punt de recompens,com agreg articul al carrit de compr
0,sol teng un cajer automat par mi pag por favor dejam sab la solucion,trat de hac el pag con tarjet per no me dej
0,quier cambi mi contraseñ,no pud cambi mi contraseñ
1,no se ha pod carg la imag en la disput,no pued carg el archiv adjunt
1,com agreg evident a disput,com present evident par respald mi reclam
0,com voy a la atencion al client,com cuid mi bols
0,eres capaz de ayud,usted no me pued ayud
1,hol estoy a punt de limpi un poc mi list de ped sin embarg no pud elimin uno de mis ped anterior,quier limpi tod mi ped
1,si per el vendedor no respond,el vendedor no me respond
0,hol dond pued cambi mi direccion de envi,mi mensajer cambi la direccion de envi
0,quier apel tu juici,quier hac un pag por sus articul
1,me pregunt cuand recib mi ped,cuand recib mi ped
0,alrededor de un mes mas o men me pid que proporcion document de valid envi tod los document que solicit no han pas dos mes y me pid que los envi nuev que diabl por que,quier follart
0,es ciert que teng que cancel la disput antes de que pued proces un reembols,com pued contact con el vendedor antes de la compr
0,mi disput ha termin y ahor se acab y ahor,dond esta mi articul ahor
1,usted es una comput,hac esto automat la respuest de la comput
0,quer sab si usar otra tarjet de credit en la mism cuent tra problem par realiz pag,pued hac pag con tarjet de credit
0,asi que respondem,entonc nadi me ayud
0,un enlac deb abrirs en mi naveg per esta rot y no hac nad a pes de que la pequeñ man aparec al pas el cursor sobr,por que no ocurr nad cuand hac clic en el boton
0,pued vend,sol necesit un articul per el proveedor lo vend en lot
1,pued llam al servici al client,pued el servici al client llam
0,quier sab com agreg detall del pasaport,com sab el preci
0,mir por mi,mir notici
0,por favor algui que sep español me result dificil escrib y traduc y lueg traduc lo que me escrib,necesit habl con algui por favor
0,com edit la cuent,com edit la disput escal
0,es men de 20,el mont de mi reembols es menor
0,com pued pag mi compr,com pued obten mi historial de compr
0,alrededor de un mes mas o men me pid que proporcion document de valid envi tod los document que solicit no han pas dos mes y me pid que los envi nuev que diabl por que,pag mi ped y me pid que lo vuelv a pag que deb hac
1,dond pued encontr el icon de ideal no pued encontr por ningun part,pued pag con ideal
0,dios mio sig perd la convers,sig trat de pag per lo rechaz
1,hol necesit tu ayud me gust abrir una disput per el ped ha finaliz y han transcurr mas de 15 dias desd la confirm del recib por lo que no es posibl abrir una disput todav es posibl abrir disput por la razon de que el articul no sea wo,no pued abrir una disput necesit tu ayud
0,com pued pon la tiend en la list negr,quier sab si este vest se pued hac en negr y roj
0,mi orden dic que los corral de tint no estan dispon ya pag,ya pag mi orde per el estad del ped no ha cambi
0,no no pued ped nad,no ped nad que pued hac
0,hic una compr no se proces por lo que los fond se reembols per me gust utiliz esos mism fond par otra compr sin ten que envi de vuelt a mi banc ya que he sobregir la cuent del mes es posibl manten el f,me gust un catalog de los articul par compr en su siti web
1,el vendedor no respond,he hech una ofert per no he recib ningun respuest de los proveedor
0,com verific la proteccion del comprador,com pag de maner segur sin la proteccion del comprador
0,mis contact estan bien,esta bien no hay problem
0,estad de reembols sin resolv,por que el estad muestr nul
1,deb a que mi orden nunc se detien siempr se pag de form instantane,mis articul nunc lleg
0,quier sab el estad de mi pag de reembols,quier sab si pued hac mi pag con americ express
1,pued habl contig en frances,habl usted frances
0,dond encuentr configur par administr tarjet de pag,com realiz un pag con 2 tarjet de credit
0,hac un ped,por que no pued hac un ped
0,hol teng problem par hac un ped me pued ayud a descubr que esta mal con su sistem,usted no me pued ayud
0,soy un problem con mi orden,teng un problem al ped un product
0,dond esta el cupon,dond estan ubic
0,el vendedor no me respond,el vendedor no me respond sobr el reembols que pued hac
0,podr rastr el estad de la orden,pued ayud a rastr mi ped
0,llen el formulari de apel per no pued envi,com pued desconect mi cuent
1,que estas hac,que estas hac ahor
0,he cancel por error mi ped despues de realiz el pag per quier que mi orden este hech que pued hac,cuand recib mi reembols despues de que se cancel la orden
1,agreg vide en disput,com agreg vide en mi disput
0,devolu y reembols,com recib reembols si mi tarjet de credit se cambi
0,com elimin mi tarjet,com borr mi cuent
0,el boton de servici en line no esta activ,es este chat en line
0,com intercambi punt por cupon,com cambi el articul por el tamañ correct
0,mi ped es muy tard y el vendedor no respond mis mensaj,dond estan mis mensaj
0,disput abiert per el vendedor se nieg a devolv,el vendedor se nieg a envi mi ped
0,tien una solucion par eso,tien dropshipping
0,com extiend la proteccion del comprador,tien proteccion del comprador
0,teng una pregunt sobr nuev mini usb negr wifi adapt pocket red enrut inalambr 2nd soft ap portabl,teng una pregunt par ti
0,no pued pag con mi mastercard,com pag con una tarjet maestr
1,com usar la transferent bancari,com pag con transferent bancari
0,sub vide evident,no pued sub archiv adjunt
0,pong en contact con su distribuidor en su nombr yvon lee,el nombr de su cuent o contraseñ es incorrect
0,con respect a mi orden,hic el pag per no recib ningun corre electron con respect al pag
1,cancel orden despues del pag cuand recib un reembols,despues de que el proveedor acord cancel el ped cuant tiemp me tom obten el reembols complet
1,pued habl en español,pued habl
0,no pued encontr,bien graci y tu
0,no pag porqu,no lo se
0,cuand abro una disput dic order empty,com abro la disput con una orden finaliz
0,pagin de list de ped,que es una list de dese
0,hub un problem con un ped que recib asi que envi a la tiend 4 mensaj sobr el problem que comenz el juev pas no he recib notici de ellos todav eso es normal,teng un problem con esta orden
1,reclam posterior a la vent,pued vend cos
0,por que sig public calient encendedor de cigarrill sin llam recarg usb electron no hay gadgets de gas de color blanc etc que tod dic no se pued entreg a finlandi por que no se pued envi a finlandi,necesit sab cuand mi ped me fue entreg
1,escal el juici de ae,com pued escal una disput
1,com usar paypal,por que no pued usar paypal
0,quier ser vendedor,quier habl con el vendedor
0,detall de la tarjet de credit,funcion la tarjet de credit vis mast
0,aun no ha sid envi,si mi ped fue envi
0,buen noch tuv un problem con mi tarjet de credit y se devolv el diner que estab en la autoriz recib mi pag,he devuelt mi articul
0,yo uso factur,usan skype
0,por que el diner no esta regres,por que no teng mi diner hast ahor
0,cre que orden dos vec necesit cancel uno de los ped,cre que es tu culp
0,lo que es confirm los bien recib,no encuentr el boton confirm ped recib
0,per quier respond a los diez mejor articul por favor diganm necesit los diez articul que se vend en 2017 ir al infiern,quier reorden algun articul
1,com dej comentari,com doy retroaliment
0,agreg una tarjet de credit,tip de tarjet de credit compat
0,problem no resuelt,teng una disput y no se solucion
1,abri una orden y el product se acab,ya abri una disput
0,no pued compr mi orden,no pued present prueb a mi cas
0,com cambi la contraseñ,com cambi los comentari
1,com encontr la tiend del vendedor,com pued encontr una tiend
0,no pued inici sesion olvid mi contraseñ y no pued encontr el codig de verif en mi corre electron intent algun vincul ya,trat de hac un pag movil per no recib el codig de verif
1,com agreg evident,com present evident par respald mi reclam
0,no se dond encontr mi codig de barr,no lo se
1,yo presion hag clic en el boton confirm recib de ped antes de que se envi la orden,erron presion la orden de los boton se finaliz
