is_duplicate,spanish_sentence1,spanish_sentence2
0,com revis una valor,com dej una valor sobr los product
1,que son las devolu local,que son las devolu domest
0,que son las devolu local,las zapatill jord son replic
0,cuand se me devolv mi diner de un ped cancel,se me devolv el cupon
0,que son las devolu local,los product que envi son de poc calidad.
0,"ahor teng una disputa, ?qu pued hac","abri una disput y, por ahora, nada."
0,"ahor teng una disputa, ?qu pued hac",pued hac una disput dos vec
1,com pued pag a trav de transferent bancari,cuand pued compr con transferent bancari
0,com pued pag a trav de transferent bancari,hac transferent bancari
0,que form de pag hay,por que no hay metod de pag con western union
0,com pued recib un reembols a traves de mi sald movil,com recib un reembols a traves de webmoney
0,com pued recuper mi diner,com pued transfer mi diner a su cuent
1,com recib el reembols de mi ped,com recib el reembols por mi ped
0,com pued sub mi vide en respuest a una mediacion de disput,no pued escrib en la caj de text de respuesta.
1,cuand teng el reembols,cuand teng el reembols
1,"llev mas de una hor esperando, su servici es muy malo, por favor revis mi consult - no pued ser que que me contest much cos que hoy no quier saber, lean y revis mi consult",quier que me devuelv mi dinero.
1,"llev mas de una hor esperando, su servici es muy malo, por favor revis mi consult - no pued ser que que me contest much cos que hoy no quier saber, lean y revis mi consult",ped much cos de diferent tiend y quier pag tod juntas.
1,com cancel una disput,com cancel una disput
0,com cancel una disput,com modif una disput
0,por que no se pued abrir una disput,por que el ped no se pued envi a mi pais/region
0,por que no se pued abrir una disput,por que el ped no se pued envi a chin
0,el ped no aparec en mi cuent,com recib el reembols por mi pedido? ¿en mi cuent bancari
0,el vendedor dic que no tien en stock y me pid que cancel,intent registr y me dic que el servici no esta disponible.
0,"despues de la cancelacion, ?en cuant dias devolv el diner","si pid ahor con ups, ¿en cuant dias lleg el articul a mi pais"
0,"entonc com pued hac par salv mis pedidos, que son muchos, si mi direccion vien incomplet","ya he pag mi pedido, per aparec com que aun no he pagado, ¿qu hac"
0,teng un problem con un vendedor,teng un problem con el pago.
1,"por favor lean mi consult - no pued ser que que me contest much cos que hoy no quier saber, lean mi consult",quier que me devuelv mi dinero.
0,com establec tarjet principal,com pued busc los product en su pagin principal
0,com establec tarjet principal,com pued establec un metod de pag automat
0,com establec tarjet principal,por que fall al establec mi direccion de envi
1,com consegu que me devuelv mi diner,com pued ped que me devuelv el diner de este ped
0,cuand recib mi ped,recib mi ped a tiemp
1,el product que compr no funcion,el product que compr no funciona.
0,que pas si el product que me dieron no coincid con el de la descripcion,que pas si acept los detall de la disput
0,el sistem no me dej pag,el orden no me dej escrib mensajes.
0,el sistem no me dej pag,no me dej abrir una cuenta.
0,el sistem no me dej pag,por que el sistem me dic que no pued particip en esta promocion
0,cuand recib el reembols despues de cerr el ped,cuand recib mi reembols por el ped cancel
0,teng un problem con una disput,teng un problem con un mal vendedor.
1,"su servici es muy malo, por favor lean mi consult - no pued ser que que me contest much cos que hoy no quier saber, lean mi consult",necesit que me ayud por favor
1,"su servici es muy malo, por favor lean mi consult - no pued ser que que me contest much cos que hoy no quier saber, lean mi consult",por que teng que pag la tarif de servici de su banc
0,com hac el pag a traves de bolet,ya he hech el pag con boleto.
0,com pued verific mi direccion,no pued escrib mi direccion danesa.
0,pued cancel un ped que ya pag,"dese cancel un pedido, per no puedo."
0,quier sab com se me va a realiz el reembols,quier sab mas sobr el reembols por tarjet de credito.
0,com modific una disput,com cancel una disput aceptada.
0,por que mi ped se cierr con el pag deduc,por que se ha cancel el ped
0,cad vez que voy a pag me dic que ha ocurr un error desconoc,necesit envi una solicitud al banc cad vez que pag a plaz
0,cuand me daran mi diner despues de cancel el ped,cuand me devolv mi dinero? el ped no ha llegado.
0,dic que mi cuent no esta autoriz par hac compr,dic que el sistem no esta disponible.
0,el estad de mi ped es pendient de recepcion y todav no he recib el product,he pag mi pedido. ¿por que el estad del ped dic pendient de pag
0,com pag el ped mediant transferent bancari,quier pag la factur con una transferent bancaria.
1,"por que aparec ""no pagado"" cuand el pag ya ha sid deduc en mi tarjet","ya he pag mi pedido, per aparec com que aun no he pagado, ¿qu hac"
1,ya estam otra vez dand vuelt sin entendernos. podri atend algui,por que mi pag esta siend verific otra vez si ya ha sid confirm
0,com pued sab si mi ped ha sid cancel o no,quier sab si mi ped ha sid realizado.
0,com pued sab si mi ped ha sid cancel o no,com se si mi ped ha sid envi
1,com usar un cupon en un ped,com usar un cupon en el ped
1,cuand recib el diner,cuand recib el diner
0,cuand se van a envi mis product,pued envi mis product a chin
0,cuand se van a envi mis product,cuand pued recib mi paquet despues de que los product se envi
0,por que cancel mi ped,por que mi ped esta vaci
0,por que cancel mi ped,por que mi ped ha desaparec
1,que otras form teng de hac el pag,que otras opcion de pag pued usar
0,que otras form teng de hac el pag,"quier cancel mi pedido, per el vendedor lo envi de tod formas."
0,qui esta a carg de mi disputa? ?pued obten tu direccion de corre electron,com pued obten los mejor cost de envi
0,qui esta a carg de mi disputa? ?pued obten tu direccion de corre electron,borr de la list de correo.
0,com pag mi ped a traves de west union. ?cual es el siguient pas,cual es el codig de mi pais
0,com pag mi ped a traves de west union. ?cual es el siguient pas,pod hac el pag a traves de tarjet de debit
0,el ped no lleg y el vendedor no respond,el vendedor no respond a mi peticion de reembolso.
0,el product no es lo que quier o ped,"el vendedor no tien los zapat que pedi, per no me contesta."
0,"el tiemp de proces ha terminado, y el vendedor no ha envi el product",cuand recib el reembols si la disput ha termin
0,hol teng problem par hac los pag deb a una apelacion pendient que no esta complet,teng problem par cre mi cuenta.
0,no pued pag mis ped,com pued pag mi ped
1,quier habl con un human,quier habl con un humano.
0,graci hac poc compr un product y sol me dur muy poc sal defect de fabric es un aut stere,necesit instruccion par un articul que compre.
1,teng problem con una disput,teng un problem con la disputa.
0,cuand deb pag por un ped de pre-vent,com deb pag con western union
0,com pag con tarjet de credit,teng un problem al pag onlin con mi tarjet de credito.
0,"com pued hac par salv mis pedidos, que son muchos, si mi direccion vien incomplet",quier que mis ped se envi junt a mi direccion.
0,el sistem de pag esta fuer de servici,com uso el servici de garant
0,por que en mi estatus indic esper mi pag,por que mi pag esta congel
0,por que no se ha mostr mi comentari,por que el pag no se ha verific
0,por que no se ha mostr mi comentari,por que se ha extend el period de entreg
1,por que se ha cancel mi ped,mi ped ha sid cancelado. ¿pued dec por que
0,por que se ha cerr mi cuent,por que no se ha cancel mi ped
0,com pued recib un reembols a traves de western union,"tras hac un pedido, ¿com pued pag con western union"
0,el ped no se ha pag,el vendedor se nieg a envi mi ped despues de hab pagado.
0,el ped no se ha pag,por que el ped ha sid cancel per el pag ya se ha hech
0,el siti no me permit abrir una disput,no se me permit inici sesion.
1,quier habl con una person,necesit habl con un representante.
0,quier sab el estad de mi reembols,quier sab el estad de la mediacion.
1,quier hac una consult,quier hac transferent bancari desd **.
0,problem con la garanti,estoy ten problem con mi ped
1,necesit present una quej contr un vendedor!,quier present una reclam porqu el vendedor me ha estafado.
0,quier recuper el dinero! ?no pued esper tant tiempo!,quier extend el tiemp de envi a * dias.
0,quier recuper el dinero! ?no pued esper tant tiempo!,quier que devuelv el diner de los product a otra tarjeta.
0,com introduc una direccion de envi,com añad la direccion de envi
0,com introduc una direccion de envi,com cambi la direccion de envi
0,com prueb mi ident,com cancel mi ped
0,com pued pag la inform de pag,cuand pued recib la inform de envi
0,com pued revis un comentari,com pued recib un reembols
0,com se extiend el tiemp de proces,pued extend el tiemp de proces
0,cual es el estad de mi ped,el estad de mi ped es nulo. ¿qu ocurr
0,cual es la solucion de mi cas,cual es la situacion con mi disput
0,cual es la solucion de mi cas,cual es la inform de contact
1,cuand voy a recib el diner de los product cancel,cuand recib un reembols si los ped han sid cancel
0,dond esta la respuest,dond esta la inform de la disput
1,en cuant dias recib mi diner si cancel el ped,cuand recib el reembols si cancel mi ped
0,exist la form de pag en la puert,cual es la mejor form de contact con un vendedor
0,exist la form de pag en la puert,"hic una compra, per la tiend no existe."
0,los gast de envi fueron pag en el moment de envi o en la recepcion del product,gast de envi por devolucion.
0,por que el pag recib es men de lo que pag,el vendedor dic que el pag no ha sid recib despues de hab finaliz el pedido. ¿qu pued hac
1,por que hast ahor no teng mi diner,por que no me devuelv el diner
0,por que mi envi tard tant,por que mi pag tard tant en ser proces
0,por que mi envi tard tant,por que tard tant en resolv la disput
1,por que no pud pag con mi tarjet de credit,por que no pued usar mi tarjet de credit
0,por que permit que engañ a vuestr client,por que me pid que guard mi tarjet
0,por que el vendedor no envi el product ni respond,"el product recib no es buen ni funciona, ¿qu pued hac"
0,por que el vendedor no envi el product ni respond,el vendedor no respond a mi peticion de reembolso.
1,pued pag con una tarjet de regal,pued pag con una tarjet de regal
0,que es mi id de usuari,por que mi nivel de usuari ha disminu
0,que hac si el vendedor me esta estaf,que pued hac si mi ped esta congel deb a las activ del vendedor
1,com me pong en contact con el vendedor,com contact con un vendedor
0,com pued present una quej,"necesit present una disputa, per el plaz se ha agotado. ¿qu pued hac"
0,cambi la person de contact,com pued cambi la direccion de recepcion
1,cuand recib el reembols despues de cancel el ped,cuand recib el reembols tras cancel el ped
0,cuand recib el reembols despues de cancel el ped,cuand ser aprob el reembols y cuand lo recib
0,dond esta mi ped por favor,mi ped esta cerr por no enviado.
0,el estad de la solicitud del reembols,cual es el estad de la reclam
0,el estad de la solicitud del reembols,"el estad del ped no ha cambi despues de que hic el pago, ¿qu ocurr"
1,"el ped indic que no he pagado, per ya pag","ya he pagado, per aparec com que no lo hice."
0,el proveedor no respond a los cas,com contact con el equip de gestion de cas
0,el vendedor deb pag los gast de envi,teng que pag los cost de envi par el servici de repar
0,el vendedor exig el uso de paypal par devolv mi dinero.,esper par mi reembols y el vendedor nunc respondio.
0,el vendedor me dic que cancel el ped par devolv el diner,cuant tard el centr de disput en devolv mi diner
0,el vendedor me ha dad un numer de seguimient que no se correspond con mi pedido.,"hic un pedido, per no me dieron ningun numer de seguimiento."
0,"acab de realiz un ped per dij que la transaccion se cerro, no entiend","acab de ped un product online, per no he puest la direccion correcta, ¿qu pued hac"
0,"acab de realiz un ped per dij que la transaccion se cerro, no entiend",com pued cancel un product que acab de hac
0,teng un reembols pendient,com pid un reembols
0,"quis sab que ha pas con mi disputa, no lo entiend",teng una disput por mi ped que ha sid cerrada.
0,quier borr mi tarjet de credit,no quier envi el extract de mi tarjet de credito.
0,"por favor, hagam sab por que se cancel uno de mis ped",me pued hac descuent
0,"por favor, hagam sab por que se cancel uno de mis ped",cuant diner me devolv
0,no pued localiz mi ped,pued edit mi ped
0,no me a lleg mi ped,mi ped ha llegado. los articul estab algo dañados.
0,hol ya mir la pagin que me suger per no consig cambi de eur a pes me colabor por favor,"por favor, diganm com cambi la direccion de entrega."
0,porqu no pued abrir disput y mi cuent esta desactiv por segur,com pued cerr esta cuent
0,com pued recib un reembols a traves de doku,com recib un reembols a traves de maestr
0,"que quier dec ""guard tarjeta"" en la pagin de pag",transferent bancari y western union no aparec com metod de pag en la pagin de pago.
0,com consig un cupon,com elimin un cupon
0,com consult dond esta mi ped,dond esta mi cupon
0,com pued elimin articul de mi list de dese,compart mi list de deseos.
0,com pued sab la id de otros miembr,pued contact a otros comprador
0,com pued sab si han envi los product,com cancel un ped si los product ya se han envi
0,com pued sab si han envi los product,com pued ver los mensaj que ya he envi
0,com pued sab si un proveedor acept deposit o no,com sab si mi ped esta cancel o no
0,com reactiv mi cuent,com cierr mi cuent
0,com reactiv mi cuent,com restaur mi cuent
0,com solicit un reembols,com pued consegu un reembols
0,cuant tiemp tard la verif de los document,cuant tiemp se mostr los product vist recient en la web
1,com pued cancel un ped que esta en proces de pag,com pued cancel el ped en pendient de pag
0,cuand se cancel el ped,cuand se actualiz la cantid de mi ped despues de que el vendedor la cambi
1,cuant tiemp es necesari par pod recuper el diner de una transaccion fall,cuant tard en devolv el diner de una transaccion fall
0,cuant tiemp tom la verif del pag,"mi ped fue congel despues de la verif del pedido, deb a que el vendedor esta siend investigado."
0,cuant dias falt hast que lleg,necesit confirm mercanc recib antes de que lleg
0,en que situacion se me realiz el reembols,se me devolv el cupon
0,hay algun error en sus opcion de pag,hay algun vendedor en norteamer
0,hay algun error en sus opcion de pag,hay algun cost de cancel de ped
1,por que el ped no pued ser envi a mi pais,por que no se pued envi el ped a mi pais
0,por que me han descont un pag si no he hech ningun transaccion,he hech un pag duplic por error.
0,por que me han descont un pag si no he hech ningun transaccion,el vendedor ser notific si he hech el pag
1,por que no pued usar mi tarjet de credit,por que no acept mi tarjet de credit
1,pued consegu que el product lleg mas rap,pued hac que el product lleg mas rap
0,pued sab que esta pas con mi disput,com pued sab si mi ped esta vin
0,pued sab que esta pas con mi disput,por que mi ped esta cerr con el pag deduc
0,pued sab que esta pas con mi disput,por que esta cerr la disput
1,que deb hac si mi paquet esta deten en la aduan,"el paquet esta en man de la aduana, ¿com pued hac el tramit"
0,que pas si el vendedor no acept ni rechaz mi disput en el plaz indic,que pas si el vendedor no aprueb mi solicitud de cancel
0,que signif -error de direccion de envi,que signif pendient de envi de vuelt
0,com abrir una disput par un ped finaliz,com abrir disput por un ped cerrado.
0,com pon en contact con el proveedor si la direccion de corre electron no funcion,com contact con el equip de gestion de cas
0,com utiliz el reembols de un ped par otro,cuand recib un reembols por el ped
0,cancel pendient de pag,"les envi mi transferencia, per aun pon pendient de pago."
0,cual es el cost de envi a chin,cual es el nombr de la compañ del envi
0,cuand voy a recib mi reembols del ped cancel,cuand voy a recib mis ped
1,"el codig de seguimient es incorrecto, no pued sab dond esta mi ped","el codig de seguimient es incorrecto, asi que no pued sab dond esta mi pedido."
0,el proveedor no ayud a resolv mi reclam,com comprueb mi reclam
0,el proveedor no esta onlin,por que mi ped esta congel a pes de que el proveedor ya lo envi
0,el proveedor no esta onlin,dond esta la respuest del proveedor
0,"el vendedor acord devolv el dinero, ?com pued obten",uno de mis ped fue cancel por el vendedor. ¿com pued recib mi diner de vuelt
0,"el vendedor acord devolv el dinero, ?com pued obten",el product ha sid devuelt al vendedor. ¿cuand pued recib mi diner
0,el vendedor no es respons de la disput,com cambi el motiv de la disput
0,el vendedor no extiend el plaz de entreg,el vendedor me pid que confirm la entreg antes de envi el producto.
0,por que no me han dad la inform de envi de mi ped,por que la id de seguimient que me han dad es fals
0,por que no me han dad la inform de envi de mi ped,por que no hay mas inform de seguimient de mi paquet
0,que form de pag hay,que otro mod hay par que hag el pag
0,que form de pag hay,"quier cancel mi pedido, per el vendedor lo envi de tod formas."
0,"abri una disputa, acord en realiz un reembols de mi diner",abri una disput y el vendedor acepto.
0,"abri una disputa, acord en realiz un reembols de mi diner","he abiert una disput por mi pedido, per el proveedor ha rechaz la peticion de reembolso."
0,acept una disput accidental,com cancel una disput
0,ayud par sab dond esta un ped,he cancel un pedido. ¿dond esta mi diner por los articul
0,ayud par sab dond esta un ped,dond esta vuestr sed
0,cuand aprob mi apel,"mi apel ha sid aceptada, ¿pued compr otra vez"
0,cuand aprob mi apel,necesit verific mi email cuand cre una cuenta.
0,hol no pued pag mis ped,pued pag mis ped combin
0,"hola, han envi mi paquet a otra direccion per no pued abrir disput porqu mi cuent esta desactivada, ¿qu pued hac",com pued hac un ped si mi cuent esta desactiv
0,"hola, han envi mi paquet a otra direccion per no pued abrir disput porqu mi cuent esta desactivada, ¿qu pued hac",mis punt de privilegi no se han añad a mi cuenta. ¿qu pued hac
0,pues mi problem es que he cre la cuent per el corre electron no es correct,no acept mi pag en western union. la razon es que el numer de cuent no es correcto.
0,quier que el ped vuelv a su curs,"que signif ""el proveedor ha envi parcial su pedido"""
0,ver mi ped no ha lleg y mi orden aparec com complet per nunc recibi mi product,"ya realic mi pago, per aparec com no pagado. ¿qu hag"
1,com compr al por mayor,com compr al por mayor
0,com comprob el estad del envi,com pued comprob el estad de la reclam
0,com consegu el reembols si el product no lleg,"si pid ahor con ups, ¿en cuant dias lleg el articul a mi pais"
0,com eleg el tamañ o el color,com pued usar el cupon o el codig del cupon
0,com es que mi ped no se aprueb,quier mi reembolso. ¿com hag que la disput se resuelv
0,com es que mi ped no se aprueb,cuand se actualiz la cantid de mi ped despues de que el vendedor la cambi
0,com pag con tarjet vis,estoy intent pag con una tarjet vis y no me dej pagar.
0,com pued activ mi cupon de registr,com registr una cuent de vendedor
0,com pued cambi el pais,com pued cambi el idiom español a ingles
0,com pued cambi la direccion email de registr,"por favor, diganm com cambi la direccion de entrega."
1,com pued cerr la sesion de mi cuent,com cierr sesion con mi cuent
0,com pued comprob si mi direccion de entreg es correct,com cambi la direccion de entreg
0,com pued comprob si mi direccion de entreg es correct,com pued correg mi direccion de email
1,com pued gan punt o consegu cupon,com pued gan cupon
1,com pued hac cambi en mi perfil,com pued edit mi perfil
1,com pued hac cambi en mi perfil,com edit mi perfil de miembr
0,com pued hac cambi en mi perfil,no pued encontr mi perfil de miembro.
0,com pued hac cambi en mi perfil,no pued inici sesion en mi cuenta. ¿qu pued hac
0,com pued hac un cambi,com pued hac un ped combin
0,com pued obten un reembolso? envi el product de nuevo.,pued transfer el reembols a mi nuev ped
0,com pued obten un reembolso? envi el product de nuevo.,mi ped fue cancelado. ¿com pued lo hag de nuev
0,com pued reanud un ped,com pued hac un ped si mi cuent esta deshabilit
0,com recib el numer de seguimient de mi ped,dond pued ver el numer de seguimient de mi ped
1,com recib el numer de seguimient de mi ped,com obten el numer de seguimient
0,com respond a una reclam,com cancel una reclam
0,confirm la recepcion del ped,por que la fech limit par confirm ped recib ha cambi
0,cual es la solucion de la disput,quier acept la solucion de reembols parcial.
0,cual es la solucion de la disput,cual es el estad de la reclam
0,cual son los cas tipic de activ fraudulent,que son los punt de privilegi
0,cual son los pag dispon,los jers son autent
0,cual son los pag dispon,cuant son los gast por transferent bancari
0,cuand podr consegu el reembols complet,cuant tard un reembols complet
0,cuand podr consegu el reembols complet,cuand recib el reembols tras abrir disput
1,cuand recib un reembolso? los ped han sid cancel,cuand recib un reembols si los ped han sid cancel
0,cuand voy a sab la situacion de mis articul envi,pued envi mis articul a la direccion de la empres de mensaj
0,cuant tard el proveedor en proces mi ped,cuant tard mi ped en ser entreg
0,cuant tard el proveedor en proces mi ped,"si pid hoy, ¿cuant tiemp tard en lleg a mi pais"
0,cuant tard el proveedor en proces mi ped,cuant tard en lleg aqu
1,cuant tiemp pued tard el vendedor en aprob mi cancel,cuant tard el vendedor en aprob la cancel de mi ped
1,dond esta mi product,dond esta mi product
0,dond pued escrib una quej,no pued escrib mensajes.
1,deb hac algo par que consegu el reembols,com pued consegu un reembols
0,es posibl pag con una tarjet de debit,no pued pag con tarjet de debito.
0,hay un limit maxim de transaccion,cual es el limit de cuant maxim par una transaccion
1,mi ped ha sid cancel com vuelv a realiz el ped,mi ped ha sid cancelado. ¿com pued repet
0,mi ped se va a envi por mar o air,por que se cancel mi ped
0,mi ped se va a envi por mar o air,por que se cierr mi ped
0,por que han cancel mi ped,por que en mi ped pon envi cancel
0,por que la cuent esta congel,por que la pagin del product no esta dispon
1,por que me han cobr dos vec,por que me cobr dos vec
0,por que no es acept mi direccion de envi,por que el tiemp de envi es tan larg
0,por que no ha sid cancel mi ped,por que no ha sid reembols mi ped despues de que fues cancel
0,por que no ha sid reembols mi ped despues de que fuer cancel,por que dic que mi ped ha sid cerr
1,por que no he recib el reembols,por que no he recib el reembols del ped
0,por que no he recib mi reembols,por que no he recib un email con mi nuev contraseñ
0,por que no pued carg mi product,por que no pued encontr el product en una tiend
1,por que no pued compr mis product,por que no pued compr mis product
0,por que no pued compr mis product,por que no pued ver mis ultim ped
0,por que no se verif el pag,por que se ha ajust el preci
0,por que tant tiemp par mi reembols,que deb hac par recib mi reembols
1,pued hac dropshipping,pued hac dropshipping
1,pued pag a traves de paypal,pued pag via paypal
0,que es el numer de telefon del proveedor,pued darm el numer de telefon de atencion al client
0,quien recib el pag por western union,por que ha fall mi pag por western union
1,se pued pag con una tarjet moneder de walmart,pued usar una tarjet de walmart
0,se pued pag con una tarjet moneder de walmart,pued pag con una tarjet de banc chin
0,"buen dias, llev dias trat de naveg en la pagin y teng problem desd vari notebook y pc. no pued cambi de pagin par ver los product compr y tampoc pued confirm recepcion de ped ya que la pagin no es cap","quier cambi la direccion de envi par un ped en esper de pago, ¿qu pued hac"
0,com pued transfer mi diner a la cuent,pued transfer mi pag por el ped cerr a otro ped
0,com quej al vendedor,com pued dej mal not al vendedor
0,com quej al vendedor,no pued envi imagen al vendedor
0,cambi la razon de cancel del ped,com pued el vendedor cambi la sum del ped
0,com se escrib derech en ingles,mi ped se entreg en mi domicili
1,confirm que he recib el ped por error.,confirm ped recib por error.
0,confirm que he recib el ped por error.,"por que he recib el error ""el numer de cuent bancari no es valido"""
1,cuand voy a recib mi reembols,me gust sab cuand voy a recib mi reembolso.
0,cuant tiemp tard su centr de disput en devolv mi diner,"el ped fue cancelado, ¿cuant tard el diner en volv a mi tarjet de credit"
0,cual es la empres de envi local,que es la list de dese
0,dej las med en la caj de comentari a los proveedores. ?es eso correct,"al compr mercanc de diferent vendedores, ¿tod los ped se export en la mism caj"
0,dej las med en la caj de comentari a los proveedores. ?es eso correct,pued dej valor par los proveedor
0,dentr de mi carr de compr no aparec mis product compr,mis compr fueron envi a un numer que no es el de mi casa.
0,el numer de seguimient no pued localiz el envi,den el numer de seguimiento.
0,el ped ha sid congel just despues de pag,por que no ha sid reembols mi ped despues de que fues cancel
0,el product no es lo mism que el anuncio.,el product que compr no funciona.
1,el seguimient de mi ped no funcion,mi numer de seguimient nunc funciona.
0,el vendedor dic que no envi el product,"intent pagar, per dic que el sistem no esta disponible."
0,el vendedor dic que no es posibl envi el product,"no entiend bien el ingles, ¿es posibl habl en rus"
0,el vendedor inform un codig de seguimient y no se encuentr,el codig de seguimient escrit en la web esta mal.
1,el vendedor no era honest,el vendedor no era honesto.
0,el vendedor no era honest,quier ayud par encontr un proveedor honesto.
0,el vendedor no es confiabl,recib un email con el avis de que el vendedor es sospech de activ fraudulenta.
0,el vendedor no ha envi los product,"he devuelt los productos, per el ped ha sid completado."
0,el vendedor no ha envi los product,com cambi una valor en el vendedor y los product
0,"en esta tiend me pid mas diner aunqu esta en promocion sus articul aleg que no gan dinero, y quier que les pag vari eur por encim de su valor en promocion top-vip stor",no entend la form en la que el diner ser reembolsado.
0,com pued obten un reembolso? envi el product de nuevo.,com pued obten una factur
0,com recuper un cupon,com uso mas de un cupon en un ped
0,cual es el estad ahor,cual es el cupon par miembr vip
0,cuand pued recib el reembols,en cuant tiemp pued recib el reembols
0,cuant tard el envi a mi pais,cuant tard en lleg a mi pais
1,dond esta el boton contact ahor,dond esta el boton de contact ahor
0,en cuant tiemp pued recib mi ped,pued recib mi ped el viern
0,por que no hay respuest a mi reclam,por que no progres mi reclam
0,que es pendient de pag,que es pendient de recib
0,se realiz un envi por separ de tod los articul del carrito? o ¿van a lleg tod al mism tiemp,quier pregunt si tod los vendedor son de chin o hay otros vendedores.
0,algui ha hech una transaccion con mi tarjet de credit,"estoy intent pag con una tarjet vis de credito, per siempr dic que ha fall el pago."
0,aun no recib el reembols,"pag via western union, ¿com recib el reembols"
0,boton de seguimient no funcion,no recib numer de seguimiento.
0,com contact al vendedor,com contact con el equip de atencion al client
0,el vendedor a cerra la disput,"el vendedor acept los termin de la disputa, per no ha hab reembolso."
0,el vendedor ha cancel el envi,"pag por un pedido, per fue cancelado. el vendedor no ha devuelt el dinero."
0,"hola, un vendedor envi mi paquet a una otra direccion incorrecta,",he introduc una direccion de entreg incorrecta.
0,la mercanc recib no es la acord,el vendedor ha envi la mercanc al numer equivocado.
0,le hic el reclam y me bloque de sus bandej de mensaj,"hic el pedido, per ellos sub el preci de repente."
0,me pon que el ped esta cerr y que deb apel,el ped fue cerr por el sistem deb a que el vendedor es sospechoso.
0,me pon que el ped esta cerr y que deb apel,"en mi ped pon que no he pagado, per pued ver el pag en mi cuent del banco."
0,"mi nombr es francisco, queri sab si exist inconvenient de envi en chin",olvid pon mi nombr en la direccion de envio.
1,necesit habl con un agent,necesit habl con una persona.
0,"no he recib la mercanc y el tiemp de disput se cerro, que pued hac","la disput se ha cerr automaticamente, ¿qu pued hac"
1,no pued pag mi ped hac un mes,"no pued pag mi pedido, ¿qu pued hac"
